film,role_type,name,image
Monsters University,Storywriter,Dan Scanlon,https://image.tmdb.org/t/p/w500/sNHqtJKMd59fvEiwBRPD3zKKYQ4.jpg
Inside Out,Co-director,Ronnie del Carmen,https://image.tmdb.org/t/p/w500/lPCmkQK76DOgkmcRjg9394QPyAu.jpg
Inside Out,Director,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
Inside Out,Musician,Michael Giacchino,https://image.tmdb.org/t/p/w500/xgurVFMLVgtgz9f5bgrrCppm4xq.jpg
Inside Out,Producer,Jonas Rivera,https://image.tmdb.org/t/p/w500/uzoCan3ZeK2jXt3NaZ6uilvcQTU.jpg
Inside Out,Screenwriter,Josh Cooley,https://image.tmdb.org/t/p/w500/eGN0vaFmKtqHu1nFi3Lv4roQ6P2.jpg
Inside Out,Screenwriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
Inside Out,Screenwriter,Meg LeFauve,https://image.tmdb.org/t/p/w500/EUoBoQfRaVZrOmMUMKkOKCnqDn.jpg
Inside Out,Storywriter,del Carmen,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Inside Out,Storywriter,Pete Docter,https://image.tmdb.org/t/p/w500/vITDphkNpSn1LP5gUEheAnlclnl.jpg
The Good Dinosaur,Director,Peter Sohn,https://image.tmdb.org/t/p/w500/8cQGViF2lXlcsAIvFUMWboXYXIu.jpg
The Good Dinosaur,Musician,Mychael,https://image.tmdb.org/t/p/w500/4rHnaofLwdVB5B7X1QgtDWRxUo7.jpg
The Good Dinosaur,Musician,Jeff Danna,https://image.tmdb.org/t/p/w500/zaDjp7SHmSAw0lbhyet5gijUCZO.jpg
The Good Dinosaur,Producer,Denise Ream,https://image.tmdb.org/t/p/w500/idxXAKRQBX0WnqPWBe6MK0flUph.jpg
The Good Dinosaur,Screenwriter,Meg LeFauve,https://image.tmdb.org/t/p/w500/EUoBoQfRaVZrOmMUMKkOKCnqDn.jpg
The Good Dinosaur,Storywriter,Erik Benson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
The Good Dinosaur,Storywriter,Meg LeFauve,https://image.tmdb.org/t/p/w500/EUoBoQfRaVZrOmMUMKkOKCnqDn.jpg
The Good Dinosaur,Storywriter,Kelsey Mann,https://image.tmdb.org/t/p/w500/jT77axUOdirHG85uXkgSiNT3qff.jpg
The Good Dinosaur,Storywriter,Bob Peterson,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
The Good Dinosaur,Storywriter,Peter Sohn,https://image.tmdb.org/t/p/w500/8cQGViF2lXlcsAIvFUMWboXYXIu.jpg
